id	name	pronouns	
MNG	Mongolia	3086918	not listed
OMN	Oman	2967717	not listed
ARM	Armenia	2966802	not listed
JAM	Jamaica	2847232	not listed
KWT	Kuwait	2789132	not listed
PSE	West Bank	2514845	not listed
LVA	Latvia	2217969	not listed
NAM	Namibia	2128471	not listed
MKD	Macedonia	2072086	not listed
BWA	Botswana	2029307	not listed
SVN	Slovenia	2003136	not listed
LSO	Lesotho	1919552	not listed
GMB	"Gambia, The"	1824158	not listed
KWT	Kosovo	1815048	not listed
149	Gaza Strip	1604238	not listed
GNB	Guinea-Bissau	1565126	not listed
GAB	Gabon	1545255	not listed
SWZ	Swaziland	1354051	not listed
153	Mauritius	1294104	not listed
EST	Estonia (Estonian)	"“tema, teda, tema” (formal) or “ta, teda, tema” - they/them/theirs"	
TTO	Trinidad and Tobago	1228691	not listed
TLS	Timor-Leste	1154625	not listed
CYP	Cyprus	1102677	not listed
FJI	Fiji	957780	not listed
QAT	Qatar	840926	not listed
160	Comoros	773407	not listed
GUY	Guyana	748486	not listed
DJI	Djibouti	740528	not listed
163	Bahrain	738004	not listed
BTN	Bhutan	699847	not listed
MNE	Montenegro	666730	not listed
GNQ	Equatorial Guinea	650702	not listed
SLB	Solomon Islands	609794	not listed
168	Macau	567957	not listed
169	Cape Verde	508659	not listed
LUX	Luxembourg	497538	not listed
ESH	Western Sahara	491519	not listed
SUR	Suriname	486618	not listed
173	Malta	406771	not listed
174	Maldives	395650	not listed
BRN	Brunei	395027	not listed
BLZ	Belize	314522	not listed
BHS	"Bahamas, The"	310426	not listed
ISL	Iceland (Icelandic)	"""hán"" - they"	
179	French Polynesia	291000	not listed
180	Barbados	285653	not listed
181	Mayotte	231139	not listed
NCL	New Caledonia	229993	not listed
183	Netherlands (West Frisian)	"je, jin, jins - they/them/theirs"	
VUT	Vanuatu	221552	not listed
185	Samoa	192001	not listed
186	Sao Tome and Principe	175808	not listed
187	Saint Lucia	160922	not listed
188	Tonga	122580	not listed
189	Virgin Islands	109775	not listed
190	Grenada	107818	not listed
191	"Micronesia, Federated States of"	107154	not listed
192	Aruba	104589	not listed
193	Saint Vincent and the Grenadines	104217	not listed
194	Kiribati	99482	not listed
195	Jersey	91812	not listed
196	Seychelles	88340	not listed
197	Antigua and Barbuda	86754	not listed
198	Andorra	84525	not listed
199	Isle of Man	76913	not listed
DOM	Dominica	72813	not listed
201	Bermuda	68268	not listed
202	American Samoa	66432	not listed
203	Marshall Islands	65859	not listed
204	Guernsey	65632	not listed
GRL	Greenland	57637	not listed
206	Cayman Islands	50209	not listed
207	Saint Kitts and Nevis	49898	not listed
208	Faroe Islands	49057	not listed
209	Northern Mariana Islands	48317	not listed
210	Liechtenstein	35002	not listed
211	San Marino	31477	not listed
212	Monaco	30586	not listed
213	Saint Martin	30235	not listed
214	Gibraltar	28877	not listed
215	British Virgin Islands	24939	not listed
216	Turks and Caicos Islands	23528	not listed
217	Palau	20879	not listed
218	Akrotiri	15700	not listed
219	Dhekelia	15700	not listed
220	Wallis and Futuna	15343	not listed
221	Anguilla	14764	not listed
222	Nauru	14264	not listed
223	Cook Islands	11488	not listed
224	Tuvalu	10472	not listed
225	"Saint Helena, Ascension, and Tristan da Cunha"	7670	not listed
226	Saint Barthelemy	7406	not listed
227	Saint Pierre and Miquelon	6010	not listed
228	Montserrat	5118	not listed
FLK	Falkland Islands (Islas Malvinas)	3140	not listed
230	Norfolk Island	2155	not listed
231	Svalbard	2067	not listed
232	Christmas Island	1402	not listed
233	Tokelau	1400	not listed
234	Niue	1354	not listed
235	Holy See (Vatican City)	829	not listed
236	Cocos (Keeling) Islands	596	not listed
237	Pitcairn Islands	48	not listed
ATA	Antarctica	0	not listed
ATF	French Southern and Antarctic Lands	0	not listed
SDS	South Sudan	12152321	not listed
ABV	Somaliland	3500000	not listed
OSA	Kosovo	1824000	not listed
